2	61	12	10
38	69	89	49
79	17	63	39
16	14	28	68
37	75	45	88
35	4	52	61
19	62	24	80
28	78	42	85
53	70	75	73
40	2	74	66
32	29	35	76
56	34	18	53
27	30	60	79
13	49	68	72
18	46	82	2
37	33	80	44
82	37	58	80
20	61	7	69
5	58	23	30
40	11	3	61
61	47	18	58
19	19	41	17
88	28	68	14
59	41	27	53
55	78	81	24
43	72	30	59
67	80	20	17
81	19	44	12
40	52	18	8
35	37	54	57
2	66	39	59
47	83	39	45
5	87	85	2
58	73	14	73
56	33	85	26
20	70	66	77
27	4	3	22
3	23	10	26
21	11	53	69
10	66	37	56
30	61	89	35
55	73	11	73
40	41	34	15
38	21	16	61
45	80	68	51
9	70	11	6
25	62	70	79
60	62	5	52
29	12	29	61
38	70	4	14
9	36	86	89
56	26	69	8
55	55	24	34
10	5	16	68
8	11	86	74
86	60	8	68
13	88	81	46
16	20	39	79
53	49	82	20
21	69	17	59
87	23	40	73
60	84	14	50
51	69	74	8
61	38	84	47
8	49	82	80
1	10	28	49
16	29	54	41
26	82	18	62
41	23	50	12
1	70	54	9
28	14	65	89
53	46	38	1
34	49	74	52
47	85	83	51
5	69	27	85
58	30	21	37
48	46	77	81
63	47	68	44
52	75	48	11
38	51	68	78
80	5	22	38
67	28	29	5
86	35	33	33
12	87	28	78
77	12	22	3
68	2	66	10
40	3	48	10
30	42	77	4
2	20	51	52
18	2	6	23
46	70	82	19
21	25	85	18
34	28	41	50
57	49	34	6
73	64	71	35
37	83	75	40
2	23	17	78
34	38	50	6
89	64	51	43
75	68	76	8
21	51	16	83
26	65	32	16
81	70	34	26
40	3	21	69
85	10	40	75
19	37	77	23
48	6	36	90
7	36	31	86
23	22	35	45
59	38	53	68
44	35	88	71
62	9	60	39
51	84	5	16
41	39	55	80
49	88	31	61
74	50	16	75
45	25	73	42
31	80	14	3
61	85	65	75
9	61	57	31
3	55	27	18
74	59	22	28
69	88	14	38
87	25	63	51
90	18	24	16
62	42	42	55
51	67	39	69
53	17	6	2
68	22	10	29
8	6	36	74
60	54	82	2
44	36	50	71
4	4	77	50
60	34	85	26
14	73	84	60
57	54	78	34
56	33	27	22
39	11	9	90
2	70	50	89
63	49	52	39
62	73	37	64
21	28	83	8
7	39	11	51
83	57	90	8
6	5	59	86
9	11	66	36
36	22	79	8
49	16	90	73
89	12	55	34
75	67	10	71
38	9	7	56
13	69	82	31
25	34	19	64
11	12	41	72
50	9	26	1
47	82	45	62
49	45	11	43
88	49	44	17
22	63	13	4
86	90	26	55
81	83	38	29
8	71	8	67
67	12	25	71
4	72	30	22
26	78	51	9
75	79	77	41
69	31	88	81
90	30	78	46
55	52	90	30
13	27	25	53
89	13	76	22
41	35	36	32
50	42	78	35
46	25	70	49
41	16	15	61
24	54	63	86
23	27	10	79
29	19	34	68
48	60	28	77
90	48	15	5
50	76	3	14
43	19	9	69
16	11	77	88
24	57	11	9
55	32	14	21
13	72	26	69
26	62	47	78
10	57	81	34
35	25	76	42
27	86	61	50
26	61	21	46
2	3	82	29
56	48	8	79
6	33	60	47
52	47	63	78
28	26	84	52
56	28	90	10
76	2	59	51
16	61	75	22
45	8	12	29
75	52	31	9
87	88	87	56
39	51	28	76
1	25	42	74
59	28	29	76
59	89	9	59
15	5	9	88
52	33	13	15
47	36	60	80
5	49	82	67
73	28	24	17
61	55	11	51
53	21	1	81
23	2	52	70
71	9	60	37
74	79	50	48
2	17	57	78
31	70	56	7
64	85	52	10
35	44	28	62
87	68	18	27
54	31	26	48
19	87	80	54
69	42	81	64
24	50	59	79
29	42	34	56
29	7	12	48
24	59	18	35
83	52	80	17
79	29	40	67
52	50	56	56
3	43	34	84
35	63	74	74
51	8	43	64
2	20	11	50
88	74	72	30
84	54	80	63
83	11	20	88
29	60	22	18
55	22	67	32
76	13	16	67
88	78	74	22
63	49	65	88
37	62	9	87
57	62	20	15
2	34	89	43
72	62	1	22
20	7	43	47
41	50	48	40
33	85	46	34
74	81	21	36
21	64	72	36
7	11	45	65
1	33	12	77
21	76	78	35
84	75	13	33
27	49	18	15
20	68	45	64
78	22	20	47
65	81	67	79
36	55	31	82
22	47	71	72
1	31	43	72
78	46	79	81
50	21	35	31
79	81	43	45
4	25	8	3
6	17	49	8
66	4	77	29
59	24	46	62
4	28	84	12
38	48	66	36
78	29	68	28
4	74	83	14
16	10	66	83
12	66	56	9
76	17	2	27
47	85	33	17
63	56	36	83
7	73	84	48
42	44	26	10
49	34	55	47
1	89	33	77
47	23	23	80
38	35	25	73
20	25	11	15
58	51	63	67
64	74	89	9
76	80	49	88
46	21	66	49
71	79	60	66
88	38	65	19
7	70	16	48
62	22	55	89
37	29	60	39
88	47	78	90
64	27	88	34
26	38	75	23
50	48	34	76
74	55	71	30
83	21	2	55
8	86	45	25
79	42	35	48
67	41	10	60
28	90	70	53
88	78	28	86
22	83	23	54
17	76	37	29
72	35	16	17
80	58	3	15
63	60	81	59
54	4	24	42
77	17	34	47
28	41	17	26
66	55	56	21
17	61	84	61
71	73	89	73
60	20	83	10
75	6	64	68
32	17	90	2
37	27	68	63
86	45	48	61
15	41	26	63
31	62	59	9
38	54	72	56
86	65	16	68
31	34	68	38
50	38	63	84
4	7	60	53
54	78	38	84
35	20	86	32
1	89	89	75
79	14	46	25
13	42	39	65
88	73	15	63
6	73	10	72
35	17	45	23
72	34	33	68
26	47	75	32
52	17	24	58
55	39	32	79
50	48	50	30
21	32	38	17
75	19	69	46
50	54	64	35
34	22	16	49
29	83	30	13
73	79	60	12
53	14	30	17
11	5	69	58
30	54	51	23
77	57	60	74
71	8	47	44
23	59	70	90
41	45	15	27
51	60	39	19
80	12	90	90
33	11	66	55
82	23	16	42
52	33	7	27
67	41	56	83
48	56	83	85
60	43	90	4
58	10	42	29
41	74	7	28
7	29	9	18
22	59	34	18
53	14	58	1
9	76	52	35
43	79	39	37
55	30	34	17
20	81	1	70
57	29	30	69
46	64	11	87
16	62	83	66
46	64	52	53
32	38	65	16
47	67	26	47
14	19	3	72
90	64	12	85
84	36	30	2
57	44	40	74
84	54	49	4
9	10	6	12
18	72	50	58
12	40	87	70
79	38	26	76
19	33	22	68
55	13	57	10
30	90	28	51
53	8	78	44
78	50	69	42
45	45	46	7
65	48	9	5
22	88	17	60
33	46	19	42
89	71	4	34
71	54	41	1
89	73	55	72
82	36	2	5
35	48	56	59
90	62	41	26
38	21	54	18
80	46	44	81
37	15	32	77
78	42	87	75
9	85	88	77
84	27	5	22
12	55	6	66
90	73	68	10
88	84	84	45
85	59	78	79
43	48	20	62
63	6	50	4
73	77	40	26
6	46	45	61
67	83	39	38
35	14	19	18
70	7	13	22
83	12	25	89
4	7	67	18
73	76	6	43
36	16	51	14
68	66	48	38
10	15	39	32
74	39	56	62
48	62	14	26
